00:00.447  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/optimized/moebius-tiger-anatomy-v3.blend"
02:59:45 | INFO: Extracting primitive: Anatomy_n41
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n42 · welded.001
02:59:45 | INFO: Primitives created: 3
02:59:45 | INFO: Extracting primitive: Anatomy_n44
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n45 · welded.001
02:59:45 | INFO: Primitives created: 3
02:59:45 | INFO: Extracting primitive: Anatomy_n47
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n48 · welded.001
02:59:45 | INFO: Primitives created: 3
02:59:45 | INFO: Extracting primitive: Anatomy_n50
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n51 · welded.001
02:59:45 | INFO: Primitives created: 3
02:59:45 | INFO: Extracting primitive: Anatomy_n9
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n10 · welded.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n11.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n12 · welded.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n13.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n14 · welded.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n15
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n16 · welded.001
02:59:45 | INFO: Primitives created: 2
02:59:45 | INFO: Extracting primitive: Anatomy_n17
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n18 · welded.001
02:59:45 | INFO: Primitives created: 2
02:59:45 | INFO: Extracting primitive: Anatomy_n19
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n21
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n23
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n24 · welded.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n25
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n26 · welded.001
02:59:45 | INFO: Primitives created: 2
02:59:45 | INFO: Extracting primitive: Tiger_Broad_Nasal_Bridge
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Fine_Whiskers
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Heavy_Brow_n19
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Heavy_Brow_n21
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Ivory_Chin
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Round_Ear_Inner_n15
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Round_Ear_Inner_n17
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Round_Pupil_n19
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Round_Pupil_n21
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Tiger_Whisker_Follicles
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: Anatomy_n2
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Extracting primitive: n3 · welded.001
02:59:45 | INFO: Primitives created: 1
02:59:45 | INFO: Finished glTF 2.0 export in 0.13050389289855957 s

02:59:45 | INFO: Data are loaded, start creating Blender stuff
02:59:45 | INFO: Blender create Mesh node Anatomy_n53.001
02:59:45 | INFO: Blender create Mesh node n54 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n55
02:59:45 | INFO: Blender create Mesh node n56 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n57
02:59:45 | INFO: Blender create Mesh node n58 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n60.001
02:59:45 | INFO: Blender create Mesh node n61 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n62
02:59:45 | INFO: Blender create Mesh node n63 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n64
02:59:45 | INFO: Blender create Mesh node n65 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n67.001
02:59:45 | INFO: Blender create Mesh node n68 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n69
02:59:45 | INFO: Blender create Mesh node n70 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n71
02:59:45 | INFO: Blender create Mesh node n72 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n74.001
02:59:45 | INFO: Blender create Mesh node n75 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n76
02:59:45 | INFO: Blender create Mesh node n77 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n78
02:59:45 | INFO: Blender create Mesh node n79 · welded.001
02:59:45 | INFO: Blender create Mesh node n5 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n6.001
02:59:45 | INFO: Blender create Mesh node n7 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n29
02:59:45 | INFO: Blender create Mesh node n30 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n32
02:59:45 | INFO: Blender create Mesh node n33 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n35
02:59:45 | INFO: Blender create Mesh node n36 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n38
02:59:45 | INFO: Blender create Mesh node n39 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n41
02:59:45 | INFO: Blender create Mesh node n42 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n44
02:59:45 | INFO: Blender create Mesh node n45 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n47
02:59:45 | INFO: Blender create Mesh node n48 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n50
02:59:45 | INFO: Blender create Mesh node n51 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n9
02:59:45 | INFO: Blender create Mesh node n10 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n11.001
02:59:45 | INFO: Blender create Mesh node n12 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n13.001
02:59:45 | INFO: Blender create Mesh node n14 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n15
02:59:45 | INFO: Blender create Mesh node n16 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n17
02:59:45 | INFO: Blender create Mesh node n18 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n19
02:59:45 | INFO: Blender create Mesh node Anatomy_n21
02:59:45 | INFO: Blender create Mesh node Anatomy_n23
02:59:45 | INFO: Blender create Mesh node n24 · welded.001
02:59:45 | INFO: Blender create Mesh node Anatomy_n25
02:59:45 | INFO: Blender create Mesh node n26 · welded.001
02:59:45 | INFO: Blender create Mesh node Tiger_Broad_Nasal_Bridge
02:59:45 | INFO: Blender create Mesh node Tiger_Fine_Whiskers
02:59:45 | INFO: Blender create Mesh node Tiger_Heavy_Brow_n19
02:59:45 | INFO: Blender create Mesh node Tiger_Heavy_Brow_n21
02:59:45 | INFO: Blender create Mesh node Tiger_Ivory_Chin
02:59:45 | INFO: Blender create Mesh node Tiger_Round_Ear_Inner_n15
02:59:45 | INFO: Blender create Mesh node Tiger_Round_Ear_Inner_n17
02:59:45 | INFO: Blender create Mesh node Tiger_Round_Pupil_n19
02:59:45 | INFO: Blender create Mesh node Tiger_Round_Pupil_n21
02:59:45 | INFO: Blender create Mesh node Tiger_Whisker_Follicles
02:59:45 | INFO: Blender create Mesh node Anatomy_n2
02:59:45 | INFO: Blender create Mesh node n3 · welded.001
02:59:45 | INFO: glTF import finished in 0.07s
BLENDER_ROUNDTRIP {"passed": true, "failures": []}

Blender quit
